Identifier 1,date,day,month,tissue type,Identifier 2,fl_mm,percent_n,percent_c,d15N,d13C
PRD72_3/25_WAL_540M_B74FIN,3/25/12,25,3,fin,Walleye,540,8.5836583,32.7997851,16.124,-28.304
PRD223_10/12_WAL_545M_490FIN,10/12/12,12,10,fin,Walleye,545,6.6508019,24.0295376,15.515,-26.174
PRD205_9/9_WAL_550F_472FIN,9/9/12,9,9,fin,Walleye,550,6.2237702,21.1188747,15.733,-23.34
PRD214_9/9_WAL_550M_481FIN,9/9/12,9,9,fin,Walleye,550,6.1570182,21.1128724,15.751,-23.429
PRD86_3/25_WAL_550M_B88FIN,3/25/12,25,3,fin,Walleye,550,7.9147873,30.8608927,16.326,-27.576
PRD86_3/25_WAL_550M_B88FIN,3/25/12,25,3,fin,Walleye,550,7.6077903,29.36099,16.245,-27.507
PRD196_9/9_WAL_560F_463FIN,9/9/12,9,9,fin,Walleye,560,6.7222473,22.7926199,16.645,-23.83
PRD208_9/9_WAL_560F_475FIN,9/9/12,9,9,fin,Walleye,560,6.3011302,21.1533526,16.276,-25.757
PRD51_3/24_WAL_560F_B53FIN,3/24/12,24,3,fin,Walleye,560,6.6177555,24.6986112,15.497,-26.649
PRD71_3/25_WAL_560M_B73FIN,3/25/12,25,3,fin,Walleye,560,9.4077264,36.3286647,17.64,-27.315
PRD83_3/25_WAL_560F_B85FIN,3/25/12,25,3,fin,Walleye,560,9.1917228,36.2578642,16.955,-27.656
PRD199_9/9_WAL_565F_466FIN,9/9/12,9,9,fin,Walleye,565,6.2080587,21.5412456,16.405,-25.266
PRD199_9/9_WAL_565F_466FIN,9/9/12,9,9,fin,Walleye,565,6.9126036,23.0211762,16.195,-25.168
PRD143_7/8_WAL_570F_B121FIN,7/8/12,8,7,fin,Walleye,570,6.2387044,21.6831554,16.249,-25.316
PRD156_9/8_WAL_570M_423FIN,9/8/12,8,9,fin,Walleye,570,6.6651938,21.7444418,15.054,-25.721
PRD161_9/8_WAL_570F_428FIN,9/8/12,8,9,fin,Walleye,570,6.5151284,21.9660439,16.661,-25.533
PRD37_3/24_WAL_570M_B39FIN,3/24/12,24,3,fin,Walleye,570,8.2000626,30.637205,16.698,-27.727
PRD46_3/24_WAL_570F_B48FIN,3/24/12,24,3,fin,Walleye,570,8.0860313,30.5233319,15.51,-27.178
PRD13_3/24_WAL_590F_B15FIN,3/24/12,24,3,fin,Walleye,590,7.7462843,30.1497924,17.077,-26.027
PRD142_7/8_WAL_590M_B120FIN,7/8/12,8,7,fin,Walleye,590,6.2659862,20.7350754,16.485,-24.01
PRD148_9/8_WAL_590F_415FIN,9/8/12,8,9,fin,Walleye,590,6.4936397,22.3626085,16.342,-25.789
PRD179_9/8_WAL_590F_446FIN,9/8/12,8,9,fin,Walleye,590,6.1346153,19.9710527,16.129,-24.084
PRD216_9/9_WAL_590F_483FIN,9/9/12,9,9,fin,Walleye,590,6.575639,23.6236064,16.141,-24.504
PRD41_3/24_WAL_590M_B43FIN,3/24/12,24,3,fin,Walleye,590,7.4297324,33.2079863,15.673,-28.442
PRD41_3/24_WAL_590M_B43FIN,3/24/12,24,3,fin,Walleye,590,8.7378667,28.3564445,15.861,-28.232
PRD87_3/25_WAL_590F_B89FIN,3/25/12,25,3,fin,Walleye,590,8.8768363,34.8484258,16.044,-28.388
PRD89_3/25_WAL_590X_B91FIN,3/25/12,25,3,fin,Walleye,590,8.6821938,34.3757043,16.786,-28.476
PRD119_7/7_WAL_610M_B283FIN,7/7/12,7,7,fin,Walleye,610,5.5501241,18.5258463,16.3,-25.638
PRD17_3/24_WAL_610X_B19FIN,3/24/12,24,3,fin,Walleye,610,7.2146094,26.4676499,16.684,-26.368
PRD175_9/8_WAL_610F_442FIN,9/8/12,8,9,fin,Walleye,610,5.4593786,18.4135189,15.87,-22.712
PRD181_9/8_WAL_610F_448FIN,9/8/12,8,9,fin,Walleye,610,6.6686592,23.7669037,16.597,-25.76
PRD44_3/24_WAL_610F_B46FIN,3/24/12,24,3,fin,Walleye,610,7.3210258,26.9994336,16.336,-26.281
PRD49_3/24_WAL_610X_B51FIN,3/24/12,24,3,fin,Walleye,610,8.0346157,30.7945424,16.649,-28.018
PRD88_3/25_WAL_610M_B90FIN,3/25/12,25,3,fin,Walleye,610,9.3673081,37.8495944,17.285,-27.507
PRD149_9/8_WAL_615F_416FIN,9/8/12,8,9,fin,Walleye,615,6.6542673,22.828401,16.518,-23.807
PRD198_9/9_WAL_615F_465FIN,9/9/12,9,9,fin,Walleye,615,6.1417667,21.4939075,15.627,-25.893
PRD140_7/8_WAL_620F_B118FIN,7/8/12,8,7,fin,Walleye,620,5.9684107,19.7548401,16.241,-23.47
PRD52_3/24_WAL_620X_B54FIN,3/24/12,24,3,fin,Walleye,620,9.115817,34.5500355,16.084,-29.021
PRD123_7/7_WAL_630M_B287FIN,7/7/12,7,7,fin,Walleye,630,6.118745,20.3452724,16.682,-24.24
PRD48_3/24_WAL_670F_B50FIN,3/24/12,24,3,fin,Walleye,670,9.0658867,34.2033024,16.073,-26.301
